location_type,map_label,lat,lon,country,candidate_rank,opportunity_tier
Existing Greggs,Greggs,54.643631,-3.5474903,England,,
Existing Greggs,Greggs,54.6347615,-3.5620256,England,,
Existing Greggs,Greggs,54.5470539,-3.5911736,England,,
Existing Greggs,Greggs,54.6638165,-3.3650876,England,,
Existing Greggs,Greggs,51.3938351,-0.1140993,England,,
Existing Greggs,Greggs,53.4459428,-2.3092424,England,,
Existing Greggs,Greggs,54.6073109,-1.2917885,England,,
Existing Greggs,Greggs,52.4076005,-1.5110428,England,,
Existing Greggs,Greggs,51.463068,-0.167831,England,,
Existing Greggs,Greggs,52.9574126,-1.1476017,England,,
Existing Greggs,Greggs,52.7054466,-2.4852419,England,,
Existing Greggs,Greggs,51.4876318,-0.1416116,England,,
Existing Greggs,Greggs,54.9067349,-1.3830416,England,,
Existing Greggs,Greggs,54.8700049,-1.6987009,England,,
Existing Greggs,Greggs,54.9777235,-1.6130335,England,,
Existing Greggs,Greggs,55.0045582,-1.6204217,England,,
Existing Greggs,Greggs,52.4125004,-1.7779039,England,,
Existing Greggs,Greggs,53.8717552,-1.7092033,England,,
Existing Greggs,Greggs,57.146966,-2.0965378,Scotland,,
Existing Greggs,Greggs,51.4691366,-0.1709964,England,,
Existing Greggs,Greggs,55.9435833,-4.5609403,Scotland,,
Existing Greggs,Greggs,53.7955544,-1.5482956,England,,
Existing Greggs,Greggs,51.6194021,-3.9470094,Wales,,
Existing Greggs,Greggs,55.9613619,-3.1518927,Scotland,,
Existing Greggs,Greggs,52.4520003,-1.7332426,England,,
Existing Greggs,Greggs,51.7522463,-1.2580734,England,,
Existing Greggs,Greggs,51.1141378,-0.1870906,England,,
Existing Greggs,Greggs,51.9275195,-2.5695181,England,,
Existing Greggs,Greggs,54.7139533,-3.4976367,England,,
Existing Greggs,Greggs,52.6299572,-2.2015705,England,,
Existing Greggs,Greggs,54.5217484,-3.5167939,England,,
Existing Greggs,Greggs,55.9589264,-3.1830818,Scotland,,
Existing Greggs,Greggs,52.6474141,0.6877334,England,,
Existing Greggs,Greggs,54.7983863,-2.872128,England,,
Existing Greggs,Greggs,54.1132143,-3.2250521,England,,
Existing Greggs,Greggs,55.8873573,-4.2862163,Scotland,,
Existing Greggs,Greggs,53.4797749,-2.2536709,England,,
Existing Greggs,Greggs,52.4723468,-1.8647978,England,,
Existing Greggs,Greggs,54.618177,-1.0665873,England,,
Existing Greggs,Greggs,56.3963571,-3.4325929,Scotland,,
Existing Greggs,Greggs,55.1311604,-1.5940694,England,,
Existing Greggs,Greggs,54.8866037,-2.9402217,England,,
Existing Greggs,Greggs,51.5096304,-2.1581921,England,,
Existing Greggs,Greggs,52.4893824,-1.8523129,England,,
Existing Greggs,Greggs,51.4339948,-0.4653961,England,,
Existing Greggs,Greggs,52.4974427,-1.8964139,England,,
Existing Greggs,Greggs,54.8927519,-2.9339842,England,,
Existing Greggs,Greggs,54.9732577,-1.6129618,England,,
Existing Greggs,Greggs,54.9741989,-1.6144358,England,,
Existing Greggs,Greggs Outlet,53.8209253,-1.4955775,England,,
Existing Greggs,Greggs,51.5174686,-0.2061132,England,,
Existing Greggs,Greggs,55.4603714,-4.6288976,Scotland,,
Existing Greggs,Greggs,52.5446689,-1.9838756,England,,
Existing Greggs,Greggs,52.4129417,-1.8285682,England,,
Existing Greggs,Greggs,53.9614933,-2.0170984,England,,
Existing Greggs,Greggs,51.7533274,-1.2697793,England,,
Existing Greggs,Greggs,52.3727303,-1.2626162,England,,
Existing Greggs,Greggs,52.9621859,-1.067422,England,,
Existing Greggs,Greggs,52.4736451,-1.7630241,England,,
Existing Greggs,Greggs,54.1289153,-2.7691143,England,,
Existing Greggs,Greggs,54.9984765,-1.4330461,England,,
Existing Greggs,Greggs,51.5314031,-0.1268056,England,,
Existing Greggs,Greggs,53.8662501,-1.6838428,England,,
Existing Greggs,Greggs,51.3474426,-2.9782881,England,,
Existing Greggs,Greggs,52.4774751,-0.9192024,England,,
Existing Greggs,Greggs,52.72404,-1.3726717,England,,
Existing Greggs,Greggs,55.1674195,-1.6887309,England,,
Existing Greggs,Greggs,51.5107095,-0.1308279,England,,
Existing Greggs,Greggs,53.410301,-2.1626232,England,,
Existing Greggs,Greggs,53.6473376,-3.0039653,England,,
Existing Greggs,Greggs,50.8363041,-0.7779881,England,,
Existing Greggs,Greggs,54.136804,-1.523624,England,,
Existing Greggs,Greggs,52.3881197,-1.2581952,England,,
Existing Greggs,Greggs,51.5073592,-0.1222692,England,,
Existing Greggs,Greggs,52.4447849,-1.7849021,England,,
Existing Greggs,Greggs,53.2360755,-1.42588,England,,
Existing Greggs,Greggs,54.6646569,-1.6751972,England,,
Existing Greggs,Greggs,51.5049468,-0.0200103,England,,
Existing Greggs,Greggs,52.5084569,-0.7053575,England,,
Existing Greggs,Greggs,51.5870162,-2.9943191,Wales,,
Existing Greggs,Greggs,54.5270627,-1.5535753,England,,
Existing Greggs,Greggs,54.5252756,-1.5573603,England,,
Existing Greggs,Greggs,54.9061707,-1.3814009,England,,
Existing Greggs,Greggs,54.905581,-1.3860635,England,,
Existing Greggs,Greggs,54.9060795,-1.3834621,England,,
Existing Greggs,Greggs,54.5248392,-1.5557074,England,,
Existing Greggs,Greggs,53.4363448,-2.1842997,England,,
Existing Greggs,Greggs,51.0126425,-3.1273383,England,,
Existing Greggs,Greggs,54.5223795,-1.5247641,England,,
Existing Greggs,Greggs,51.5225047,-3.1953051,Wales,,
Existing Greggs,Greggs,54.9174569,-1.4332349,England,,
Existing Greggs,Greggs,53.1445247,-1.196973,England,,
Existing Greggs,Greggs,53.0231567,-1.4821229,England,,
Existing Greggs,Greggs,51.5704965,-1.8008587,England,,
Existing Greggs,Greggs,53.5665425,-0.6488121,England,,
Existing Greggs,Greggs,54.5966446,-5.9317244,Northern Ireland,,
Existing Greggs,Greggs,55.4996524,-4.6106953,Scotland,,
Existing Greggs,Greggs,54.0716478,-2.8656394,England,,
Existing Greggs,Greggs,53.2434099,-1.3332569,England,,
Existing Greggs,Greggs,53.2359582,-1.4268268,England,,
Existing Greggs,Greggs,54.9000525,-1.5326597,England,,
Existing Greggs,Greggs,51.8020722,-0.2056458,England,,
Existing Greggs,Greggs,56.1093958,-3.1588539,Scotland,,
Existing Greggs,Greggs,54.8950973,-1.5777709,England,,
Existing Greggs,Greggs,54.8968973,-1.4395889,England,,
Existing Greggs,Greggs,56.0617012,-3.4062255,Scotland,,
Existing Greggs,Greggs,54.9130594,-1.5226688,England,,
Existing Greggs,Greggs,55.9423739,-3.0508538,Scotland,,
Existing Greggs,Greggs,54.6543948,-3.3727085,England,,
Existing Greggs,Greggs,54.8522585,-1.8332024,England,,
Existing Greggs,Greggs,53.5750318,-0.6554764,England,,
Existing Greggs,Greggs,56.6446694,-2.8888992,Scotland,,
Existing Greggs,Greggs,56.0306199,-3.3983391,Scotland,,
Existing Greggs,Greggs,55.9295111,-3.2457188,Scotland,,
Existing Greggs,Greggs,51.4210271,-0.2065451,England,,
Existing Greggs,Greggs,54.9763422,-1.585547,England,,
Existing Greggs,Greggs,54.1960318,-3.0952862,England,,
Existing Greggs,Greggs,54.9775444,-1.5767406,England,,
Existing Greggs,Greggs,51.4564889,-0.9719476,England,,
Existing Greggs,Greggs,54.2323436,-1.3423035,England,,
Existing Greggs,Greggs,53.7050119,-0.8717975,England,,
Existing Greggs,Greggs,51.2951803,-0.3291187,England,,
Existing Greggs,Greggs,51.8797441,-0.4160989,England,,
Existing Greggs,Greggs,51.8793104,-0.4147685,England,,
Existing Greggs,Greggs,51.5912337,-2.7520703,Wales,,
Existing Greggs,Greggs,51.9469145,-0.5032873,England,,
Existing Greggs,Greggs,53.3875694,-1.0610271,England,,
Existing Greggs,Greggs,53.5682319,-2.2323129,England,,
Existing Greggs,Greggs,51.4886354,-0.3965852,England,,
Existing Greggs,Greggs,52.3882482,-2.249033,England,,
Existing Greggs,Greggs,56.3952881,-3.4303638,Scotland,,
Existing Greggs,Greggs,54.908958,-1.5397716,England,,
Existing Greggs,Greggs,54.9720087,-1.4090229,England,,
Existing Greggs,Greggs,53.4816675,-2.249176,England,,
